"품목별(1)","품목별(2)","품목별(3)",시점,항목,데이터
"식품 및 산동물","설탕,설탕조제품 및 벌꿀","설탕과자",2021. 11,수입액 (천달러),19919
"식품 및 산동물","커피,차,코코아,향신료 및 동제품","소계",2021. 11,수출액 (천달러),35628
"식품 및 산동물","커피,차,코코아,향신료 및 동제품","소계",2021. 11,수입액 (천달러),165964
"식품 및 산동물","커피,차,코코아,향신료 및 동제품","커피 및 커피대용품",2021. 11,수출액 (천달러),22238
"식품 및 산동물","커피,차,코코아,향신료 및 동제품","커피 및 커피대용품",2021. 11,수입액 (천달러),109333
"식품 및 산동물","커피,차,코코아,향신료 및 동제품","코코아",2021. 11,수출액 (천달러),80
"식품 및 산동물","커피,차,코코아,향신료 및 동제품","코코아",2021. 11,수입액 (천달러),6633
"식품 및 산동물","커피,차,코코아,향신료 및 동제품","달리 명시되지 않은 초코렛과 코코아를 함유한 기타 조제식료품",2021. 11,수출액 (천달러),7099
"식품 및 산동물","커피,차,코코아,향신료 및 동제품","달리 명시되지 않은 초코렛과 코코아를 함유한 기타 조제식료품",2021. 11,수입액 (천달러),36746
"식품 및 산동물","커피,차,코코아,향신료 및 동제품","차와 마태",2021. 11,수출액 (천달러),3311
"식품 및 산동물","커피,차,코코아,향신료 및 동제품","차와 마태",2021. 11,수입액 (천달러),5208
"식품 및 산동물","커피,차,코코아,향신료 및 동제품","향신료",2021. 11,수출액 (천달러),2899
"식품 및 산동물","커피,차,코코아,향신료 및 동제품","향신료",2021. 11,수입액 (천달러),8044
"식품 및 산동물","동물사료","소계",2021. 11,수출액 (천달러),29666
"식품 및 산동물","동물사료","소계",2021. 11,수입액 (천달러),260963
"식품 및 산동물","동물사료","동물사료",2021. 11,수출액 (천달러),29666
"식품 및 산동물","동물사료","동물사료",2021. 11,수입액 (천달러),260963
"식품 및 산동물","기타 식용제품 및 조제품","소계",2021. 11,수출액 (천달러),214281
"식품 및 산동물","기타 식용제품 및 조제품","소계",2021. 11,수입액 (천달러),258016
"식품 및 산동물","기타 식용제품 및 조제품","마아가린  및 쇼트닝",2021. 11,수출액 (천달러),1477
"식품 및 산동물","기타 식용제품 및 조제품","마아가린  및 쇼트닝",2021. 11,수입액 (천달러),12949
"식품 및 산동물","기타 식용제품 및 조제품","달리 명시되지 않은 식용제품 및 조제품",2021. 11,수출액 (천달러),212805
"식품 및 산동물","기타 식용제품 및 조제품","달리 명시되지 않은 식용제품 및 조제품",2021. 11,수입액 (천달러),245067
"음료 및 담배","소계","소계",2021. 11,수출액 (천달러),162036
"음료 및 담배","소계","소계",2021. 11,수입액 (천달러),146849
"음료 및 담배","음료","소계",2021. 11,수출액 (천달러),75200
"음료 및 담배","음료","소계",2021. 11,수입액 (천달러),111005
"음료 및 담배","음료","달리 명시되지 않은 비알콜성음료",2021. 11,수출액 (천달러),51175
"음료 및 담배","음료","달리 명시되지 않은 비알콜성음료",2021. 11,수입액 (천달러),12624
"음료 및 담배","음료","알콜성 음료",2021. 11,수출액 (천달러),24025
"음료 및 담배","음료","알콜성 음료",2021. 11,수입액 (천달러),98381
"음료 및 담배","담배 및 담배제품","소계",2021. 11,수출액 (천달러),86836
"음료 및 담배","담배 및 담배제품","소계",2021. 11,수입액 (천달러),35844
"음료 및 담배","담배 및 담배제품","잎담배 및 담배 부산물",2021. 11,수출액 (천달러),945
"음료 및 담배","담배 및 담배제품","잎담배 및 담배 부산물",2021. 11,수입액 (천달러),18254
"음료 및 담배","담배 및 담배제품","제조담배",2021. 11,수출액 (천달러),85891
"음료 및 담배","담배 및 담배제품","제조담배",2021. 11,수입액 (천달러),17590
"비식용원재료(연료제외)","소계","소계",2021. 11,수출액 (천달러),775383
"비식용원재료(연료제외)","소계","소계",2021. 11,수입액 (천달러),3653844
"비식용원재료(연료제외)","원피 및 모피","소계",2021. 11,수출액 (천달러),96
"비식용원재료(연료제외)","원피 및 모피","소계",2021. 11,수입액 (천달러),14550
"비식용원재료(연료제외)","원피 및 모피","원피(모피제외)",2021. 11,수출액 (천달러),96
"비식용원재료(연료제외)","원피 및 모피","원피(모피제외)",2021. 11,수입액 (천달러),13739
"비식용원재료(연료제외)","원피 및 모피","생모피",2021. 11,수입액 (천달러),811
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매","소계",2021. 11,수출액 (천달러),293
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매","소계",2021. 11,수입액 (천달러),105796
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매","기름용씨및 식물성기름 추출용의 것",2021. 11,수출액 (천달러),103
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매","기름용씨및 식물성기름 추출용의 것",2021. 11,수입액 (천달러),78823
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매","기타 기름용씨 및 기름함유 열매",2021. 11,수출액 (천달러),190
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매","기타 기름용씨 및 기름함유 열매",2021. 11,수입액 (천달러),26974
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)","소계",2021. 11,수출액 (천달러),312528
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)","소계",2021. 11,수입액 (천달러),85653
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)","천연고무,발라타.구타페으카.가이율.치클 및 이와 유사한 천연검",2021. 11,수출액 (천달러),122
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)","천연고무,발라타.구타페으카.가이율.치클 및 이와 유사한 천연검",2021. 11,수입액 (천달러),46960
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)","합성고무,재생고무",2021. 11,수출액 (천달러),312405
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)","합성고무,재생고무",2021. 11,수입액 (천달러),38693
"비식용원재료(연료제외)","콜크 및 나무","소계",2021. 11,수출액 (천달러),1181
"비식용원재료(연료제외)","콜크 및 나무","소계",2021. 11,수입액 (천달러),198126
"비식용원재료(연료제외)","콜크 및 나무","천연콜크및 천연콜크찌꺼기",2021. 11,수출액 (천달러),51
"비식용원재료(연료제외)","콜크 및 나무","천연콜크및 천연콜크찌꺼기",2021. 11,수입액 (천달러),51
